"","Date","flow","pipe"
"491",2020-04-22,118.6,"msp"
"492",2020-04-23,145.8,"msp"
"493",2020-04-24,54.9,"msp"
"494",2020-04-25,113,"msp"
"495",2020-04-26,120,"msp"
"496",2020-04-27,183.4,"msp"
"497",2020-04-28,174.5,"msp"
"498",2020-04-29,222.9,"msp"
"499",2020-04-30,258.8,"msp"
"500",2020-05-01,217.7,"msp"
"501",2020-05-02,247.5,"msp"
"502",2020-05-03,239.5,"msp"
"503",2020-05-04,226.5,"msp"
"504",2020-05-05,239.6,"msp"
"505",2020-05-06,241.9,"msp"
"506",2020-05-07,228.5,"msp"
"507",2020-05-08,229,"msp"
"508",2020-05-09,159.7,"msp"
"509",2020-05-10,207.1,"msp"
"510",2020-05-11,291.5,"msp"
"511",2020-05-12,294.2,"msp"
"512",2020-05-13,289.6,"msp"
"513",2020-05-14,289.4,"msp"
"514",2020-05-15,259.6,"msp"
"515",2020-05-16,234.9,"msp"
"516",2020-05-17,208.8,"msp"
"517",2020-05-18,279.6,"msp"
"518",2020-05-19,269.1,"msp"
"519",2020-05-20,271.7,"msp"
"520",2020-05-21,276.9,"msp"
"521",2020-05-22,309,"msp"
"522",2020-05-23,344.6,"msp"
"523",2020-05-24,329.5,"msp"
"524",2020-05-25,299,"msp"
"525",2020-05-26,319.5,"msp"
"526",2020-05-27,333.5,"msp"
"527",2020-05-28,315.6,"msp"
"528",2020-05-29,283.2,"msp"
"529",2020-05-30,301.7,"msp"
"530",2020-05-31,277,"msp"
"531",2020-06-01,329.5,"msp"
"532",2020-06-02,344.8,"msp"
"533",2020-06-03,349.5,"msp"
"534",2020-06-04,374.5,"msp"
"535",2020-06-05,361.5,"msp"
"536",2020-06-06,363.1,"msp"
"537",2020-06-07,382,"msp"
"538",2020-06-08,364.2,"msp"
"539",2020-06-09,363.8,"msp"
"540",2020-06-10,350.9,"msp"
"541",2020-06-11,344.9,"msp"
"542",2020-06-12,374.4,"msp"
"543",2020-06-13,374.4,"msp"
"544",2020-06-14,365.2,"msp"
"545",2020-06-15,352.4,"msp"
"546",2020-06-16,360.5,"msp"
"547",2020-06-17,356.8,"msp"
"548",2020-06-18,374.1,"msp"
"549",2020-06-19,374,"msp"
"550",2020-06-20,339,"msp"
"551",2020-06-21,279.9,"msp"
"552",2020-06-22,348.3,"msp"
"553",2020-06-23,380.1,"msp"
"554",2020-06-24,392.8,"msp"
"555",2020-06-25,395.3,"msp"
"556",2020-06-26,387.8,"msp"
"557",2020-06-27,352.2,"msp"
"558",2020-06-28,344.6,"msp"
"559",2020-06-29,368.4,"msp"
"560",2020-06-30,389.2,"msp"
"561",2020-07-01,391.4,"msp"
"562",2020-07-02,368.6,"msp"
"563",2020-07-03,360.6,"msp"
"564",2020-07-04,343.2,"msp"
"565",2020-07-05,335.1,"msp"
"566",2020-07-06,341.2,"msp"
"567",2020-07-07,354.3,"msp"
"568",2020-07-08,327.1,"msp"
"569",2020-07-09,321.1,"msp"
"570",2020-07-10,294.7,"msp"
"571",2020-07-11,325.6,"msp"
"572",2020-07-12,339.4,"msp"
"573",2020-07-13,329.4,"msp"
"574",2020-07-14,319.8,"msp"
"575",2020-07-15,337.9,"msp"
"576",2020-07-16,363.3,"msp"
"577",2020-07-17,358,"msp"
"578",2020-07-18,404.4,"msp"
"579",2020-07-19,360.9,"msp"
"580",2020-07-20,369.4,"msp"
"581",2020-07-21,386.6,"msp"
"582",2020-07-22,390,"msp"
"583",2020-07-23,382.9,"msp"
"584",2020-07-24,384.7,"msp"
"585",2020-07-25,394.3,"msp"
"586",2020-07-26,396.2,"msp"
"587",2020-07-27,361.4,"msp"
"588",2020-07-28,395.4,"msp"
"589",2020-07-29,392.4,"msp"
"590",2020-07-30,393.3,"msp"
"591",2020-07-31,386.1,"msp"
"592",2020-08-01,391.9,"msp"
"593",2020-08-02,358.8,"msp"
"594",2020-08-03,342.1,"msp"
"595",2020-08-04,366.8,"msp"
"596",2020-08-05,368.7,"msp"
"597",2020-08-06,368.2,"msp"
"598",2020-08-07,396.3,"msp"
"599",2020-08-08,377.1,"msp"
"600",2020-08-09,373.4,"msp"
"601",2020-08-10,362.5,"msp"
"602",2020-08-11,344.5,"msp"
"603",2020-08-12,266.8,"msp"
"604",2020-08-13,274.2,"msp"
"605",2020-08-14,297.5,"msp"
"606",2020-08-15,233.7,"msp"
"607",2020-08-16,265.3,"msp"
"608",2020-08-17,264.1,"msp"
"609",2020-08-18,269.1,"msp"
"610",2020-08-19,289.1,"msp"
"611",2020-08-20,286.2,"msp"
"612",2020-08-21,286.2,"msp"
"613",2020-08-22,290.1,"msp"
"614",2020-08-23,299.1,"msp"
"615",2020-08-24,299.1,"msp"
"616",2020-08-25,299.1,"msp"
"617",2020-08-26,299.1,"msp"
"618",2020-08-27,299.1,"msp"
"619",2020-08-28,299.3,"msp"
"620",2020-08-29,299.2,"msp"
"621",2020-08-30,275.9,"msp"
"622",2020-08-31,282,"msp"
"623",2020-09-01,280,"msp"
"624",2020-09-02,239.3,"msp"
"625",2020-09-03,204.4,"msp"
"626",2020-09-04,209.4,"msp"
"627",2020-09-05,184.4,"msp"
"628",2020-09-06,209.2,"msp"
"629",2020-09-07,249.2,"msp"
"630",2020-09-08,174.5,"msp"
"631",2020-09-09,203,"msp"
"632",2020-09-10,179.5,"msp"
"633",2020-09-11,199.4,"msp"
"634",2020-09-12,212.3,"msp"
"635",2020-09-13,195.4,"msp"
"636",2020-09-14,212.3,"msp"
"637",2020-09-15,192.4,"msp"
"638",2020-09-16,187.4,"msp"
"639",2020-09-17,173.6,"msp"
"640",2020-09-18,182.2,"msp"
"641",2020-09-19,177.5,"msp"
"642",2020-09-20,175.1,"msp"
"643",2020-09-21,168.1,"msp"
"644",2020-09-22,159.6,"msp"
"645",2020-09-23,181.5,"msp"
"646",2020-09-24,172.4,"msp"
"647",2020-09-25,181.4,"msp"
"648",2020-09-26,204.3,"msp"
"649",2020-09-27,166.5,"msp"
"650",2020-09-28,153.7,"msp"
"651",2020-09-29,176.7,"msp"
"652",2020-09-30,129,"msp"
"653",2020-10-01,18.7,"msp"
"654",2020-10-02,3,"msp"
"655",2020-10-03,12.3,"msp"
"656",2020-10-04,148.5,"msp"
"657",2020-10-05,123,"msp"
"658",2020-10-06,43.3,"msp"
"659",2020-10-07,54.2,"msp"
"660",2020-10-08,95.4,"msp"
"661",2020-10-09,41.7,"msp"
"662",2020-10-10,14.5,"msp"
"663",2020-10-11,1.1,"msp"
"664",2020-10-12,44.5,"msp"
"665",2020-10-13,0,"msp"
"666",2020-10-14,0,"msp"
"667",2020-10-15,14.4,"msp"
"668",2020-10-16,28.5,"msp"
"669",2020-10-17,0.2,"msp"
"670",2020-10-18,0,"msp"
"671",2020-10-19,16.9,"msp"
"672",2020-10-20,80.6,"msp"
"673",2020-10-21,70.5,"msp"
"674",2020-10-22,29.5,"msp"
"675",2020-10-23,28.6,"msp"
"676",2020-10-24,24.5,"msp"
"677",2020-10-25,157.3,"msp"
"678",2020-10-26,213.1,"msp"
"679",2020-10-27,23.1,"msp"
"680",2020-10-28,28.3,"msp"
"681",2020-10-29,17.6,"msp"
"682",2020-10-30,0,"msp"
"683",2020-10-31,10.6,"msp"
"684",2020-11-01,52.7,"msp"
"685",2020-11-02,77.5,"msp"
"686",2020-11-03,19.6,"msp"
"687",2020-11-04,22,"msp"
"688",2020-11-05,63.7,"msp"
"689",2020-11-06,145.6,"msp"
"690",2020-11-07,164.1,"msp"
"691",2020-11-08,34.9,"msp"
"692",2020-11-09,0,"msp"
"693",2020-11-10,14.4,"msp"
"694",2020-11-11,43.4,"msp"
"695",2020-11-12,46.1,"msp"
"696",2020-11-13,50.8,"msp"
"697",2020-11-14,55.5,"msp"
"698",2020-11-15,40.5,"msp"
"699",2020-11-16,28.8,"msp"
"700",2020-11-17,104.5,"msp"
"701",2020-11-18,124.5,"msp"
"702",2020-11-19,104.6,"msp"
"703",2020-11-20,96.6,"msp"
"704",2020-11-21,79.2,"msp"
"705",2020-11-22,66.5,"msp"
"706",2020-11-23,45.9,"msp"
"707",2020-11-24,35.8,"msp"
"708",2020-11-25,21.8,"msp"
"709",2020-11-26,24.7,"msp"
"710",2020-11-27,176.1,"msp"
"711",2020-11-28,25.9,"msp"
